Destination,Origin,Rejected
Australia,Afghanistan,96
Australia,Afghanistan,20
Australia,Angola,0
Australia,Albania,*
Australia,Albania,15
Australia,Andorra,0
Australia,United Arab Emirates,0
Australia,Argentina,0
Australia,American Samoa,0
Australia,Azerbaijan,6
Australia,Azerbaijan,0
Australia,Burundi,0
Australia,Burundi,0
Australia,Belgium,0
Australia,Burkina Faso,0
Australia,Burkina Faso,0
Australia,Bangladesh,256
Australia,Bangladesh,208
Australia,Bulgaria,0
Australia,Bahrain,6
Australia,Bahrain,*
Australia,Bahamas,0
Australia,Bosnia and Herzegovina,0
Australia,Belarus,0
Australia,Belarus,0
Australia,Brazil,5
Australia,Brazil,20
Australia,Brunei Darussalam,0
Australia,Brunei Darussalam,0
Australia,Bhutan,*
Australia,Bhutan,0
Australia,Botswana,0
Australia,Botswana,0
Australia,Canada,0
Australia,Canada,0
Australia,Chile,0
Australia,China,635
Australia,China,3535
Australia,Côte d'Ivoire,0
Australia,Cameroon,6
Australia,Cameroon,*
Australia,Dem. Rep. of the Congo,6
Australia,Dem. Rep. of the Congo,*
Australia,Congo,0
Australia,Colombia,18
Australia,Colombia,*
Australia,Cuba,*
Australia,Cyprus,*
Australia,Czech Rep.,0
Australia,Czech Rep.,*
Australia,Germany,*
Australia,Germany,*
Australia,Djibouti,0
Australia,Dominica,0
Australia,Denmark,*
Australia,Algeria,*
Australia,Algeria,*
Australia,Ecuador,*
Australia,Egypt,84
Australia,Egypt,55
Australia,Eritrea,0
Australia,Spain,0
Australia,Spain,0
Australia,Estonia,*
Australia,Estonia,6
Australia,Ethiopia,15
Australia,Ethiopia,6
Australia,Fiji,237
Australia,Fiji,117
Australia,France,0
Australia,France,6
Australia,Gabon,0
Australia,Gabon,0
Australia,United Kingdom,*
Australia,United Kingdom,23
Australia,Georgia,9
Australia,Georgia,*
Australia,Ghana,*
Australia,Ghana,15
Australia,Guinea,*
Australia,Guinea,*
Australia,Gambia,0
Australia,Gambia,0
Australia,Greece,*
Australia,Greece,0
Australia,Guatemala,0
Australia,"China, Hong Kong SAR",30
Australia,Honduras,0
Australia,Honduras,0
Australia,Croatia,*
Australia,Croatia,0
Australia,Haiti,0
Australia,Hungary,0
Australia,Indonesia,101
Australia,Indonesia,28
Australia,India,244
Australia,India,422
Australia,Ireland,*
Australia,Ireland,17
Australia,Iran (Islamic Rep. of),187
Australia,Iran (Islamic Rep. of),74
Australia,Iraq,91
Australia,Iraq,14
Australia,Israel,0
Australia,Israel,12
Australia,Italy,*
Australia,Italy,5
Australia,Jamaica,0
Australia,Jordan,35
Australia,Jordan,15
Australia,Japan,6
Australia,Japan,*
Australia,Kazakhstan,*
Australia,Kazakhstan,0
Australia,Kenya,8
Australia,Kenya,27
Australia,Kyrgyzstan,9
Australia,Kyrgyzstan,*
Australia,Cambodia,12
Australia,Cambodia,*
Australia,Kiribati,*
Australia,Rep. of Korea,15
Australia,Rep. of Korea,41
Australia,Kuwait,0
Australia,Kuwait,*
Australia,Lao People's Dem. Rep.,0
Australia,Lao People's Dem. Rep.,0
Australia,Lebanon,108
Australia,Lebanon,73
Australia,Liberia,0
Australia,Liberia,0
Australia,Libya,12
Australia,Libya,0
Australia,Sri Lanka,616
Australia,Sri Lanka,243
Australia,Latvia,*
Australia,Latvia,6
Australia,"China, Macao SAR",*
Australia,Morocco,0
Australia,Morocco,0
Australia,Rep. of Moldova,*
Australia,Madagascar,0
Australia,Maldives,0
Australia,Mexico,*
Australia,Mexico,0
Australia,The former Yugoslav Republic of Macedonia,*
Australia,The former Yugoslav Republic of Macedonia,*
Australia,Mali,0
Australia,Mali,0
Australia,Malta,*
Australia,Malta,*
Australia,Myanmar,19
Australia,Myanmar,6
Australia,Mongolia,11
Australia,Mongolia,33
Australia,Mauritania,0
Australia,Mauritius,*
Australia,Mauritius,9
Australia,Malawi,0
Australia,Malawi,0
Australia,Malaysia,2244
Australia,Malaysia,904
Australia,Nigeria,39
Australia,Nigeria,18
Australia,Nicaragua,*
Australia,Nicaragua,*
Australia,Netherlands,0
Australia,Netherlands,0
Australia,Norway,*
Australia,Norway,0
Australia,Nepal,121
Australia,Nepal,156
Australia,New Zealand,15
Australia,New Zealand,*
Australia,Oman,0
Australia,Pakistan,221
Australia,Pakistan,308
Australia,Peru,14
Australia,Peru,*
Australia,Philippines,38
Australia,Philippines,14
Australia,Papua New Guinea,39
Australia,Papua New Guinea,17
Australia,Poland,0
Australia,Poland,6
Australia,Dem. People's Rep. of Korea,0
Australia,Dem. People's Rep. of Korea,0
Australia,Palestinian,0
Australia,Palestinian,6
Australia,Qatar,0
Australia,Romania,0
Australia,Romania,0
Australia,Russia,20
Australia,Russia,5
Australia,Rwanda,*
Australia,Rwanda,*
Australia,Saudi Arabia,11
Australia,Saudi Arabia,*
Australia,Sudan,0
Australia,Sudan,*
Australia,Singapore,12
Australia,Singapore,*
Australia,Solomon Islands,9
Australia,Solomon Islands,*
Australia,Sierra Leone,0
Australia,Sierra Leone,0
Australia,El Salvador,6
Australia,El Salvador,*
Australia,Somalia,6
Australia,Somalia,*
Australia,Serbia and Kosovo (S/RES/1244 (1999)),*
Australia,Serbia and Kosovo (S/RES/1244 (1999)),6
Australia,South Sudan,0
Australia,South Sudan,0
Australia,Slovenia,*
Australia,Slovenia,*
Australia,Sweden,0
Australia,Seychelles,0
Australia,Seychelles,0
Australia,Syrian Arab Rep.,6
Australia,Syrian Arab Rep.,*
Australia,Chad,*
Australia,Chad,*
Australia,Togo,0
Australia,Thailand,*
Australia,Thailand,38
Australia,Tibetan,0
Australia,Tajikistan,0
Australia,Tajikistan,0
Australia,Timor-Leste,0
Australia,Tonga,20
Australia,Tonga,43
Australia,Tunisia,*
Australia,Tunisia,*
Australia,Turkey,24
Australia,Turkey,11
Australia,United Rep. of Tanzania,9
Australia,United Rep. of Tanzania,*
Australia,Uganda,*
Australia,Uganda,*
Australia,Ukraine,15
Australia,Ukraine,*
Australia,Uruguay,0
Australia,United States,14
Australia,United States,*
Australia,Uzbekistan,0
Australia,Uzbekistan,6
Australia,Saint Vincent and the Grenadines,*
Australia,Venezuela (Bolivarian Republic of),*
Australia,Venezuela (Bolivarian Republic of),*
Australia,Viet Nam,91
Australia,Viet Nam,131
Australia,Vanuatu,0
Australia,Samoa,9
Australia,Samoa,*
Australia,Stateless,14
Australia,Stateless,27
Australia,Various/Unknown,*
Australia,Various/Unknown,0
Australia,Yemen,0
Australia,Yemen,0
Australia,South Africa,5
Australia,South Africa,15
Australia,Zambia,18
Australia,Zambia,*
Australia,Zimbabwe,27
Australia,Zimbabwe,15
Brazil,Afghanistan,0
Brazil,Angola,62
Brazil,Albania,
Brazil,United Arab Emirates,0
Brazil,Argentina,*
Brazil,Armenia,0
Brazil,Burundi,0
Brazil,Belgium,0
Brazil,Benin,13
Brazil,Burkina Faso,10
Brazil,Bangladesh,33
Brazil,Bulgaria,0
Brazil,Belize,0
Brazil,Bolivia (Plurinational State of),0
Brazil,Barbados,
Brazil,Bhutan,0
Brazil,Central African Rep.,0
Brazil,Canada,0
Brazil,Switzerland,0
Brazil,Chile,0
Brazil,China,*
Brazil,Côte d'Ivoire,*
Brazil,Cameroon,7
Brazil,Dem. Rep. of the Congo,19
Brazil,Congo,0
Brazil,Colombia,*
Brazil,Cabo Verde,15
Brazil,Costa Rica,0
Brazil,Cuba,38
Brazil,Cyprus,
Brazil,Czech Rep.,0
Brazil,Germany,0
Brazil,Dominica,0
Brazil,Dominican Rep.,24
Brazil,Algeria,*
Brazil,Ecuador,0
Brazil,Egypt,9
Brazil,Eritrea,0
Brazil,Western Sahara,0
Brazil,Spain,*
Brazil,Ethiopia,0
Brazil,Fiji,
Brazil,France,0
Brazil,United Kingdom,0
Brazil,Georgia,0
Brazil,Ghana,131
Brazil,Guinea,*
Brazil,Gambia,21
Brazil,Guinea-Bissau,98
Brazil,Equatorial Guinea,0
Brazil,Greece,0
Brazil,Guatemala,0
Brazil,Guyana,0
Brazil,Honduras,0
Brazil,Haiti,0
Brazil,Hungary,
Brazil,Indonesia,0
Brazil,India,12
Brazil,Iran (Islamic Rep. of),*
Brazil,Iraq,0
Brazil,Israel,*
Brazil,Italy,*
Brazil,Jamaica,0
Brazil,Jordan,5
Brazil,Kenya,*
Brazil,Rep. of Korea,0
Brazil,Kuwait,0
Brazil,Lebanon,12
Brazil,Liberia,0
Brazil,Libya,0
Brazil,Sri Lanka,0
Brazil,Lesotho,0
Brazil,Lithuania,*
Brazil,Latvia,
Brazil,Morocco,*
Brazil,Mexico,0
Brazil,The former Yugoslav Republic of Macedonia,0
Brazil,Mali,19
Brazil,Malta,
Brazil,Myanmar,0
Brazil,Mozambique,6
Brazil,Mauritania,*
Brazil,Malaysia,0
Brazil,Namibia,*
Brazil,Niger,0
Brazil,Nigeria,33
Brazil,Nicaragua,0
Brazil,Norway,0
Brazil,Nepal,*
Brazil,Pakistan,11
Brazil,Panama,0
Brazil,Peru,*
Brazil,Philippines,16
Brazil,Poland,0
Brazil,Portugal,*
Brazil,Paraguay,0
Brazil,Palestinian,0
Brazil,Romania,0
Brazil,Russia,0
Brazil,Rwanda,0
Brazil,Saudi Arabia,
Brazil,Sudan,*
Brazil,Senegal,175
Brazil,Sierra Leone,11
Brazil,El Salvador,0
Brazil,Somalia,0
Brazil,Saint-Pierre-et-Miquelon,0
Brazil,Serbia and Kosovo (S/RES/1244 (1999)),0
Brazil,Sao Tome and Principe,*
Brazil,Suriname,0
Brazil,Sweden,0
Brazil,Swaziland,0
Brazil,Syrian Arab Rep.,0
Brazil,Togo,16
Brazil,Thailand,*
Brazil,Tibetan,0
Brazil,Tunisia,*
Brazil,Turkey,0
Brazil,United Rep. of Tanzania,*
Brazil,Uganda,0
Brazil,Ukraine,*
Brazil,Uruguay,0
Brazil,United States,0
Brazil,Venezuela (Bolivarian Republic of),28
Brazil,Stateless,0
Brazil,Yemen,0
Brazil,South Africa,*
Brazil,Zambia,*
Brazil,Zimbabwe,0
Canada,Afghanistan,84
Canada,Angola,9
Canada,Albania,79
Canada,United Arab Emirates,*
Canada,Argentina,5
Canada,Armenia,0
Canada,Antigua and Barbuda,15
Canada,Australia,
Canada,Austria,
Canada,Azerbaijan,8
Canada,Burundi,22
Canada,Belgium,7
Canada,Benin,6
Canada,Burkina Faso,14
Canada,Bangladesh,67
Canada,Bulgaria,*
Canada,Bahrain,*
Canada,Bahamas,38
Canada,Bosnia and Herzegovina,*
Canada,Belarus,0
Canada,Belize,0
Canada,Bermuda,0
Canada,Bolivia (Plurinational State of),*
Canada,Brazil,9
Canada,Barbados,6
Canada,Bhutan,0
Canada,Botswana,*
Canada,Central African Rep.,*
Canada,Switzerland,
Canada,Chile,31
Canada,China,615
Canada,Côte d'Ivoire,9
Canada,Cameroon,54
Canada,Dem. Rep. of the Congo,126
Canada,Congo,14
Canada,Colombia,190
Canada,Cabo Verde,
Canada,Costa Rica,11
Canada,Cuba,24
Canada,Cyprus,*
Canada,Czech Rep.,21
Canada,Germany,*
Canada,Djibouti,10
Canada,Dominica,*
Canada,Denmark,
Canada,Dominican Rep.,11
Canada,Algeria,33
Canada,Ecuador,7
Canada,Egypt,29
Canada,Eritrea,47
Canada,Spain,9
Canada,Ethiopia,80
Canada,Finland,
Canada,Fiji,*
Canada,France,7
Canada,Gabon,
Canada,United Kingdom,*
Canada,Georgia,28
Canada,Ghana,36
Canada,Guinea,21
Canada,Gambia,5
Canada,Guinea-Bissau,
Canada,Equatorial Guinea,
Canada,Greece,5
Canada,Grenada,*
Canada,Guatemala,37
Canada,Guyana,19
Canada,"China, Hong Kong SAR",*
Canada,Honduras,50
Canada,Croatia,17
Canada,Haiti,194
Canada,Hungary,223
Canada,Indonesia,5
Canada,India,239
Canada,Ireland,9
Canada,Iran (Islamic Rep. of),27
Canada,Iraq,133
Canada,Israel,21
Canada,Italy,31
Canada,Jamaica,72
Canada,Jordan,41
Canada,Japan,5
Canada,Kazakhstan,*
Canada,Kenya,16
Canada,Kyrgyzstan,*
Canada,Cambodia,*
Canada,Saint Kitts and Nevis,*
Canada,Rep. of Korea,*
Canada,Kuwait,8
Canada,Lebanon,101
Canada,Liberia,
Canada,Libya,40
Canada,Saint Lucia,9
Canada,Sri Lanka,32
Canada,Lithuania,
Canada,Latvia,
Canada,Morocco,8
Canada,Rep. of Moldova,*
Canada,Madagascar,
Canada,Mexico,60
Canada,The former Yugoslav Republic of Macedonia,*
Canada,Mali,53
Canada,Myanmar,
Canada,Montenegro,*
Canada,Mongolia,14
Canada,Mozambique,
Canada,Mauritania,13
Canada,Mauritius,5
Canada,Malawi,
Canada,Malaysia,*
Canada,Namibia,*
Canada,Niger,*
Canada,Nigeria,475
Canada,Nicaragua,
Canada,Netherlands,
Canada,Norway,*
Canada,Nepal,37
Canada,Pakistan,166
Canada,Panama,
Canada,Peru,22
Canada,Philippines,9
Canada,Poland,9
Canada,Dem. People's Rep. of Korea,
Canada,Portugal,*
Canada,Palestinian,24
Canada,Qatar,
Canada,Romania,*
Canada,Russia,13
Canada,Rwanda,22
Canada,Saudi Arabia,19
Canada,Sudan,30
Canada,Senegal,17
Canada,Singapore,*
Canada,Sierra Leone,6
Canada,El Salvador,59
Canada,Somalia,120
Canada,Serbia and Kosovo (S/RES/1244 (1999)),22
Canada,South Sudan,
Canada,Slovakia,65
Canada,Slovenia,
Canada,Sweden,*
Canada,Swaziland,*
Canada,Seychelles,
Canada,Syrian Arab Rep.,25
Canada,Turks and Caicos Islands,
Canada,Chad,28
Canada,Togo,6
Canada,Thailand,13
Canada,Tajikistan,*
Canada,Turkmenistan,
Canada,Trinidad and Tobago,*
Canada,Tunisia,22
Canada,Turkey,71
Canada,United Rep. of Tanzania,*
Canada,Uganda,22
Canada,Ukraine,72
Canada,Uruguay,*
Canada,United States,66
Canada,Uzbekistan,7
Canada,Saint Vincent and the Grenadines,14
Canada,Venezuela (Bolivarian Republic of),86
Canada,Viet Nam,
Canada,Vanuatu,
Canada,Stateless,*
Canada,Various/Unknown,5
Canada,Yemen,16
Canada,South Africa,16
Canada,Zambia,*
Canada,Zimbabwe,41
China,Afghanistan,
China,Angola,
China,Angola,
China,Burundi,*
China,Burundi,
China,Benin,
China,Benin,*
China,Bangladesh,
China,Brazil,
China,Central African Rep.,
China,Côte d'Ivoire,
China,Côte d'Ivoire,8
China,Cameroon,9
China,Cameroon,*
China,Dem. Rep. of the Congo,
China,Congo,
China,Colombia,
China,Egypt,
China,Eritrea,
China,Ethiopia,
China,Ghana,7
China,Ghana,29
China,Guinea,
China,Guinea,8
China,Gambia,
China,Gambia,6
China,Gambia,*
China,Guinea-Bissau,
China,Iran (Islamic Rep. of),
China,Iraq,
China,Kenya,
China,Kenya,*
China,Liberia,10
China,Liberia,
China,Liberia,*
China,Libya,
China,Mali,*
China,Mali,
China,Mozambique,*
China,Mozambique,
China,Niger,
China,Niger,*
China,Nigeria,7
China,Nigeria,34
China,Pakistan,
China,Pakistan,
China,Philippines,7
China,Philippines,*
China,Palestinian,
China,Rwanda,
China,Sudan,
China,Sierra Leone,*
China,Sierra Leone,*
China,Somalia,*
China,Somalia,
China,South Sudan,
China,Sweden,
China,Syrian Arab Rep.,
China,Togo,*
China,Togo,*
China,United Rep. of Tanzania,
China,United Rep. of Tanzania,*
China,Uganda,
China,Uganda,7
China,Ukraine,
China,Yemen,
China,South Africa,
China,South Africa,*
China,Zambia,
China,Zimbabwe,
China,Zimbabwe,*
France,Afghanistan,10
France,Afghanistan,773
France,Afghanistan,77
France,Angola,
France,Angola,357
France,Angola,273
France,Albania,3134
France,Albania,120
France,Albania,1317
France,United Arab Emirates,0
France,Argentina,*
France,Argentina,*
France,Armenia,71
France,Armenia,732
France,Armenia,1013
France,Antigua and Barbuda,0
France,Azerbaijan,
France,Azerbaijan,367
France,Azerbaijan,351
France,Burundi,
France,Burundi,9
France,Burundi,*
France,Belgium,*
France,Belgium,0
France,Benin,7
France,Benin,13
France,Benin,
France,Burkina Faso,0
France,Burkina Faso,30
France,Burkina Faso,77
France,Bangladesh,
France,Bangladesh,3486
France,Bangladesh,1714
France,Bahrain,0
France,Bosnia and Herzegovina,9
France,Bosnia and Herzegovina,93
France,Bosnia and Herzegovina,285
France,Belarus,17
France,Belarus,
France,Belarus,34
France,Bolivia (Plurinational State of),*
France,Bolivia (Plurinational State of),*
France,Brazil,*
France,Brazil,7
France,Bhutan,0
France,Bhutan,*
France,Bhutan,21
France,Botswana,0
France,Central African Rep.,485
France,Central African Rep.,
France,Central African Rep.,38
France,Canada,0
France,Chile,*
France,Chile,*
France,China,*
France,China,204
France,China,1440
France,Côte d'Ivoire,578
France,Côte d'Ivoire,16
France,Côte d'Ivoire,1028
France,Cameroon,112
France,Cameroon,422
France,Cameroon,*
France,Dem. Rep. of the Congo,2780
France,Dem. Rep. of the Congo,2769
France,Dem. Rep. of the Congo,89
France,Congo,357
France,Congo,
